GEOID,County,count
24001,ALLEGANY COUNTY,2
24003,ANNE ARUNDEL COUNTY,2
24510,BALTIMORE CITY,15
24005,BALTIMORE COUNTY,6
24009,CALVERT COUNTY,1
24013,CARROLL COUNTY,2
24015,CECIL COUNTY,1
24017,CHARLES COUNTY,1
24019,DORCHESTER COUNTY,3
24021,FREDERICK COUNTY,1
24023,GARRETT COUNTY,1
24025,HARFORD COUNTY,2
24027,HOWARD COUNTY,2
24029,KENT COUNTY,1
24031,MONTGOMERY COUNTY,8
24033,PRINCE GEORGE'S COUNTY,6
24037,SAINT MARY'S COUNTY,1
24039,SOMERSET COUNTY,1
24041,TALBOT COUNTY,1
24043,WASHINGTON COUNTY,3
24045,WICOMICO COUNTY,3
24047,WORCESTER COUNTY,1
24011,CAROLINE,0
24035,QUEEN_ANNES,0
